"Sector","Pillar","Country","Value","Rank"
"Economy","Economic openness","Albania",40.05859039,77
"Pre-University Education","Educational enabling environment","Albania",66.70358658,34
"Technical and Vocational Education and Training","Features of the labour market","Albania",62.22072608,33
"Economy","Financing and value added","Albania",33.03332998,94
"Technical and Vocational Education and Training","Formation and professional training","Albania",46.46766505,82
"General Enabling Environment","Health and environment","Albania",81.52816533,29
"Higher Education","Higher education inputs","Albania",49.36119801,47
"Higher Education","Higher education outputs and quality","Albania",27.49042332,98
"Information and Communications Technology","ICT inputs","Albania",59.33572585,66
"Information and Communications Technology","ICT outputs","Albania",40.18552469,83
"Research, Development and Innovation","Innovation in production","Albania",43.38138649,27
"Pre-University Education","Knowledge capital","Albania",55.6936634,64
"Economy","Knowledge competitiveness","Albania",47.48238856,62
"General Enabling Environment","Political and institutional","Albania",54.4895262,62
"Research, Development and Innovation","Research and development","Albania",12.20421746,106
"Research, Development and Innovation","Social innovation","Albania",22.86437692,70
"General Enabling Environment","Socio-economic","Albania",54.27840539,81
"Economy","Economic openness","Algeria",31.55218561,109
"Pre-University Education","Educational enabling environment","Algeria",69.08558903,25
"Technical and Vocational Education and Training","Features of the labour market","Algeria",43.53998251,96
"Economy","Financing and value added","Algeria",42.50673037,61
"Technical and Vocational Education and Training","Formation and professional training","Algeria",21.95475888,133
"General Enabling Environment","Health and environment","Algeria",71.37328473,73
"Higher Education","Higher education inputs","Algeria",66.66152829,3
"Higher Education","Higher education outputs and quality","Algeria",33.49532308,84
"Information and Communications Technology","ICT inputs","Algeria",45.25062143,106
"Information and Communications Technology","ICT outputs","Algeria",28.56473158,108
"Research, Development and Innovation","Innovation in production","Algeria",8.478906916,129
"Pre-University Education","Knowledge capital","Algeria",40.25977948,110
"Economy","Knowledge competitiveness","Algeria",37.22474074,112
"General Enabling Environment","Political and institutional","Algeria",29.64355335,117
"Research, Development and Innovation","Research and development","Algeria",18.8404563,68
"Research, Development and Innovation","Social innovation","Algeria",5.788533717,133
"General Enabling Environment","Socio-economic","Algeria",37.2829082,123
"Economy","Economic openness","Angola",31.06329532,110
"Pre-University Education","Educational enabling environment","Angola",15.59525783,135
"Technical and Vocational Education and Training","Features of the labour market","Angola",33.99473958,130
"Economy","Financing and value added","Angola",18.08621738,131
"Technical and Vocational Education and Training","Formation and professional training","Angola",25.62845239,129
"General Enabling Environment","Health and environment","Angola",46.02810688,125
"Higher Education","Higher education inputs","Angola",27.74542435,129
"Higher Education","Higher education outputs and quality","Angola",9.434576027,136
"Information and Communications Technology","ICT inputs","Angola",33.30237577,119
"Information and Communications Technology","ICT outputs","Angola",11.63021112,132
"Research, Development and Innovation","Innovation in production","Angola",14.29596866,111
"Pre-University Education","Knowledge capital","Angola",24.82537319,129
"Economy","Knowledge competitiveness","Angola",14.90923187,135
"General Enabling Environment","Political and institutional","Angola",25.9150286,123
"Research, Development and Innovation","Research and development","Angola",2.227519873,135
"Research, Development and Innovation","Social innovation","Angola",17.30081899,90
"General Enabling Environment","Socio-economic","Angola",43.71448094,111
"Economy","Economic openness","Armenia",40.83194767,73
"Pre-University Education","Educational enabling environment","Armenia",63.78656699,46
"Technical and Vocational Education and Training","Features of the labour market","Armenia",51.51698195,65
"Economy","Financing and value added","Armenia",43.02327221,60
"Technical and Vocational Education and Training","Formation and professional training","Armenia",30.22365271,125
"General Enabling Environment","Health and environment","Armenia",74.2892627,62
"Higher Education","Higher education inputs","Armenia",34.8963294,112
"Higher Education","Higher education outputs and quality","Armenia",35.55727291,77
"Information and Communications Technology","ICT inputs","Armenia",65.14949135,49
"Information and Communications Technology","ICT outputs","Armenia",41.68613882,76
"Research, Development and Innovation","Innovation in production","Armenia",25.38490916,66
"Pre-University Education","Knowledge capital","Armenia",50.64400668,83
"Economy","Knowledge competitiveness","Armenia",46.91941874,68
"General Enabling Environment","Political and institutional","Armenia",49.17728141,68
"Research, Development and Innovation","Research and development","Armenia",16.81688129,77
"Research, Development and Innovation","Social innovation","Armenia",29.83859394,44
"General Enabling Environment","Socio-economic","Armenia",50.84812606,89
"Economy","Economic openness","Australia",47.43241743,51
"Pre-University Education","Educational enabling environment","Australia",42.2215129,114
"Technical and Vocational Education and Training","Features of the labour market","Australia",66.09728143,22
"Economy","Financing and value added","Australia",55.28566792,23
"Technical and Vocational Education and Training","Formation and professional training","Australia",66.74164005,16
"General Enabling Environment","Health and environment","Australia",79.43656222,35
"Higher Education","Higher education inputs","Australia",42.34408285,87
"Higher Education","Higher education outputs and quality","Australia",63.95484825,6
"Information and Communications Technology","ICT inputs","Australia",72.71467553,25
"Information and Communications Technology","ICT outputs","Australia",71.39731091,22
"Research, Development and Innovation","Innovation in production","Australia",37.21976611,36
"Pre-University Education","Knowledge capital","Australia",65.31848501,40
"Economy","Knowledge competitiveness","Australia",66.24662607,11
"General Enabling Environment","Political and institutional","Australia",90.02209918,11
"Research, Development and Innovation","Research and development","Australia",45.79688703,18
"Research, Development and Innovation","Social innovation","Australia",39.65991457,17
"General Enabling Environment","Socio-economic","Australia",68.62632235,24
"Economy","Economic openness","Austria",53.02524852,28
"Pre-University Education","Educational enabling environment","Austria",59.43479851,62
"Technical and Vocational Education and Training","Features of the labour market","Austria",69.06841758,14
"Economy","Financing and value added","Austria",53.94507551,28
"Technical and Vocational Education and Training","Formation and professional training","Austria",74.93635035,9
"General Enabling Environment","Health and environment","Austria",85.79141051,8
"Higher Education","Higher education inputs","Austria",64.66182171,8
"Higher Education","Higher education outputs and quality","Austria",53.14307254,24
"Information and Communications Technology","ICT inputs","Austria",70.63238286,28
"Information and Communications Technology","ICT outputs","Austria",69.60102998,24
"Research, Development and Innovation","Innovation in production","Austria",52.42306789,21
"Pre-University Education","Knowledge capital","Austria",68.45666618,24
"Economy","Knowledge competitiveness","Austria",60.23538249,25
"General Enabling Environment","Political and institutional","Austria",86.60609974,14
"Research, Development and Innovation","Research and development","Austria",57.24096577,10
"Research, Development and Innovation","Social innovation","Austria",29.36472559,48
"General Enabling Environment","Socio-economic","Austria",70.30979292,16
"Economy","Economic openness","Azerbaijan",38.13544367,84
"Pre-University Education","Educational enabling environment","Azerbaijan",74.8200404,7
"Technical and Vocational Education and Training","Features of the labour market","Azerbaijan",54.6246727,49
"Economy","Financing and value added","Azerbaijan",29.0376415,107
"Technical and Vocational Education and Training","Formation and professional training","Azerbaijan",48.7902455,75
"General Enabling Environment","Health and environment","Azerbaijan",68.57191011,83
"Higher Education","Higher education inputs","Azerbaijan",38.00807517,106
"Higher Education","Higher education outputs and quality","Azerbaijan",40.70824655,53
"Information and Communications Technology","ICT inputs","Azerbaijan",62.75087605,56
"Information and Communications Technology","ICT outputs","Azerbaijan",51.4042046,49
"Research, Development and Innovation","Innovation in production","Azerbaijan",17.20070344,101
"Pre-University Education","Knowledge capital","Azerbaijan",51.17602539,80
"Economy","Knowledge competitiveness","Azerbaijan",50.89818865,50
"General Enabling Environment","Political and institutional","Azerbaijan",37.46173082,99
"Research, Development and Innovation","Research and development","Azerbaijan",14.89678277,84
"Research, Development and Innovation","Social innovation","Azerbaijan",16.45804707,96
