"Pillar","Subpillar","Country","Value","Rank"
"Higher education outputs and quality","Graduation","Albania",50.2934993164504,46
"Higher education outputs and quality","Graduation","Algeria",52.3823175543851,35
"Higher education outputs and quality","Graduation","Angola",NA,NA
"Higher education outputs and quality","Graduation","Armenia",65.6797508034218,6
"Higher education outputs and quality","Graduation","Australia",51.2238078449823,42
"Higher education outputs and quality","Graduation","Austria",31.8725591376088,98
"Higher education outputs and quality","Graduation","Azerbaijan",50.7676892365923,43
"Higher education outputs and quality","Graduation","Bahrain",38.5799346926404,76
"Higher education outputs and quality","Graduation","Bangladesh",37.4446209261611,81
"Higher education outputs and quality","Graduation","Barbados",15.0399335301782,119
"Higher education outputs and quality","Graduation","Belarus",59.5187840749304,16
"Higher education outputs and quality","Graduation","Belgium",50.1260547461298,47
"Higher education outputs and quality","Graduation","Belize",33.2950923948935,95
"Higher education outputs and quality","Graduation","Benin",18.8818447301749,115
"Higher education outputs and quality","Graduation","Bhutan",57.46936277976,25
"Higher education outputs and quality","Graduation","Bolivia (Plurinational State of)",NA,NA
"Higher education outputs and quality","Graduation","Botswana",30.8371356983608,102
"Higher education outputs and quality","Graduation","Brazil",46.407551861177,58
"Higher education outputs and quality","Graduation","Brunei Darussalam",64.2479675814566,10
"Higher education outputs and quality","Graduation","Bulgaria",50.0632081592148,48
"Higher education outputs and quality","Graduation","Burkina Faso",25.778244555532,106
"Higher education outputs and quality","Graduation","Burundi",74.5869638925167,2
"Higher education outputs and quality","Graduation","Cabo Verde",12.8204778452868,120
"Higher education outputs and quality","Graduation","Cambodia",32.9676625842446,96
"Higher education outputs and quality","Graduation","Cameroon",56.8919257657657,28
"Higher education outputs and quality","Graduation","Canada",47.0006283329075,56
"Higher education outputs and quality","Graduation","Chad",59.1107033119157,18
"Higher education outputs and quality","Graduation","Chile",44.2233918802008,65
"Higher education outputs and quality","Graduation","China",51.7372322817767,38
"Higher education outputs and quality","Graduation","Colombia",54.8973402903582,31
"Higher education outputs and quality","Graduation","Congo (Democratic Republic of the)",59.0587884481796,20
"Higher education outputs and quality","Graduation","Costa Rica",56.3475130560329,29
"Higher education outputs and quality","Graduation","Croatia",45.8964030331103,60
"Higher education outputs and quality","Graduation","Cyprus",35.611142604681,88
"Higher education outputs and quality","Graduation","Czechia",45.3050899574073,61
"Higher education outputs and quality","Graduation","Côte d'Ivoire",NA,NA
"Higher education outputs and quality","Graduation","Denmark",57.4763737138269,24
"Higher education outputs and quality","Graduation","Dominican Republic",42.5175121395924,69
"Higher education outputs and quality","Graduation","Ecuador",58.9341630797291,22
"Higher education outputs and quality","Graduation","Egypt",34.2827435192646,92
"Higher education outputs and quality","Graduation","El Salvador",29.4897414857489,103
"Higher education outputs and quality","Graduation","Estonia",37.9508792243071,79
"Higher education outputs and quality","Graduation","Eswatini (Kingdom of)",15.1970458462579,118
"Higher education outputs and quality","Graduation","Ethiopia",20.8983757096542,113
"Higher education outputs and quality","Graduation","Finland",37.7676487852093,80
"Higher education outputs and quality","Graduation","France",55.6645924080311,30
"Higher education outputs and quality","Graduation","Gambia",NA,NA
"Higher education outputs and quality","Graduation","Georgia",33.6944251629659,93
"Higher education outputs and quality","Graduation","Germany",38.3013814742376,78
"Higher education outputs and quality","Graduation","Ghana",50.5874014247601,44
"Higher education outputs and quality","Graduation","Greece",23.8602463057502,109
"Higher education outputs and quality","Graduation","Guatemala",17.6124896138393,117
"Higher education outputs and quality","Graduation","Guinea",63.0945316811555,12
"Higher education outputs and quality","Graduation","Guyana",NA,NA
"Higher education outputs and quality","Graduation","Honduras",48.8771856892322,54
"Higher education outputs and quality","Graduation","Hong Kong, China (SAR)",NA,NA
"Higher education outputs and quality","Graduation","Hungary",45.1977356093562,62
"Higher education outputs and quality","Graduation","Iceland",19.6687429647365,114
"Higher education outputs and quality","Graduation","India",53.7325040094565,33
"Higher education outputs and quality","Graduation","Indonesia",34.9765777864154,89
"Higher education outputs and quality","Graduation","Iran (Islamic Republic of)",30.9297172101711,100
"Higher education outputs and quality","Graduation","Ireland",64.523477889335,9
"Higher education outputs and quality","Graduation","Israel",49.3573335526662,51
"Higher education outputs and quality","Graduation","Italy",52.1006623382488,36
"Higher education outputs and quality","Graduation","Japan",49.7865689032367,49
"Higher education outputs and quality","Graduation","Jordan",41.7116239976555,71
"Higher education outputs and quality","Graduation","Kazakhstan",64.9582316237089,7
"Higher education outputs and quality","Graduation","Kenya",NA,NA
"Higher education outputs and quality","Graduation","Korea (Republic of)",47.4973414140364,55
"Higher education outputs and quality","Graduation","Kuwait",NA,NA
"Higher education outputs and quality","Graduation","Kyrgyzstan",64.6721419288484,8
"Higher education outputs and quality","Graduation","Lao People's Democratic Republic",72.7676153922854,3
"Higher education outputs and quality","Graduation","Latvia",31.5869985304115,99
"Higher education outputs and quality","Graduation","Lebanon",23.6355174320649,111
"Higher education outputs and quality","Graduation","Lesotho",24.7098896702184,108
"Higher education outputs and quality","Graduation","Lithuania",43.1645517315759,67
"Higher education outputs and quality","Graduation","Luxembourg",49.6340467108372,50
"Higher education outputs and quality","Graduation","Madagascar",39.1494919066927,75
"Higher education outputs and quality","Graduation","Malawi",NA,NA
"Higher education outputs and quality","Graduation","Malaysia",36.9769175439366,85
"Higher education outputs and quality","Graduation","Mali",NA,NA
"Higher education outputs and quality","Graduation","Malta",57.3733229207616,26
"Higher education outputs and quality","Graduation","Mauritania",18.1352065649971,116
"Higher education outputs and quality","Graduation","Mauritius",39.8586512996324,74
"Higher education outputs and quality","Graduation","Mexico",51.8468918044886,37
"Higher education outputs and quality","Graduation","Moldova (Republic of)",62.7354339000765,13
"Higher education outputs and quality","Graduation","Mongolia",30.8911200131521,101
"Higher education outputs and quality","Graduation","Morocco",27.843764372277,104
"Higher education outputs and quality","Graduation","Mozambique",21.4979809716173,112
"Higher education outputs and quality","Graduation","Myanmar",37.1486358195402,84
"Higher education outputs and quality","Graduation","Namibia",32.871694823676,97
"Higher education outputs and quality","Graduation","Nepal",49.1216698311101,53
"Higher education outputs and quality","Graduation","Netherlands",51.4069884079034,40
"Higher education outputs and quality","Graduation","New Zealand",53.6774703664699,34
"Higher education outputs and quality","Graduation","North Macedonia",79.828843528968,1
